product_id;ean;qty;date;price;tax;category;name;short_description;description
1;00110BR;-895;2011-12-27 15:36:06;337.000000;;BibaToys;"Активная игрушка на присоске Бабочка(от3м)""";Веселая бабочка не позволит малышу заскучать. Благодаря присоске она надежно крепится к гладкой поверхности.;<p>Веселая бабочка не позволит малышу заскучать. Благодаря присоске она надежно крепится к гладкой поверхности.<br />Яркие и разнообразные цвета способствуют сенсорному развитию малыша. Материал -пластик, полиэстер</p>
2;00111BR;74;2011-12-27 15:36:06;229.000000;;BibaToys;"Игрушка вибрирующая Пчела на цветке(от0м)""";Пчелка апособствует развитию фокусировки взгляда новорождённых. Легко крепится на коляску,кроватку, при вытягивании сокращается и вибрирует. Малыш может трясти подвеску - развивается слаженность и точность движений, усиливается мускулатура рук.;<p>Пчелка апособствует развитию фокусировки взгляда новорождённых. Легко крепится на коляску,кроватку, при вытягивании сокращается и вибрирует. Малыш может трясти подвеску - развивается слаженность и точность движений, усиливается мускулатура рук. Материал - полиэстер</p>
3;00206JF;1;2011-12-27 15:36:06;0.000000;;BibaToys;"Мягкая книжка Джунгли (от 6 мес.)""";Яркие цвета и дружелюбные герои этой книги дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку.;<p>Яркие цвета и дружелюбные герои этой книги дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку. Материал - полиэстер,хлопок</p>
4;00207BB;0;2011-12-27 15:36:06;161.000000;;BibaToys;"Мягкая книжка Путешествие Пикабу(от 0мес)""";Яркие цвета и дружелюбные герои этой книги - дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку.;<p>Яркие цвета и дружелюбные герои этой книги - дают множество возможностей для обучения и новых открытий. Легко крепится на прогулочную коляску, кроватку. Материал - полиэстер.</p>
5;00211BB;253;2011-12-27 15:36:06;539.000000;;BibaToys;"Развивающая игрушка Книжный червячок (от 6 мес.)""";Эта забавная красочная игрушка надолго займет малыша.;<p>Эта забавная красочная игрушка надолго займет малыша.<br />Материал - полиэстер.</p>
6;00281MC;3;2011-12-27 15:36:06;0.000000;;BibaToys;"Активная игрушка Цирк (от 6 мес.)""";Весёлые клоуны займут малыша во время прогулки в коляске. Развивает моторику.;<p>Весёлые клоуны займут малыша во время прогулки в коляске. Развивает моторику. Материал - полиэстер.</p>
7;00281QB;1;2011-12-27 15:36:06;283.000000;;BibaToys;"Игрушка-раст.на коляску Зверята (голуб)""";Дружные зверушки-игрушки займут малыша во время прогулки в коляске. Развивает моторику.;<p>Дружные зверушки-игрушки займут малыша во время прогулки в коляске. Развивает моторику. Материал - полиэстер.</p>
8;00321JF;460;2011-12-27 15:36:06;1484.000000;;BibaToys;"Активный коврик с дугами Джунгли(от0)""";Коврик с развивающими элементами и игрушками. Яркие цвета,и дружелюбные обитатели джунглей - дают множество возможностей для обучения и новых открытий.;<p>Коврик с развивающими элементами и игрушками. Яркие цвета,и дружелюбные обитатели джунглей - дают множество возможностей для обучения и новых открытий. Материал - полиэстер.</p>
9;00357JF;2;2011-12-27 15:36:06;836.000000;;BibaToys;"Мобиль в  кроватку Джунгли(от0м)""";Музыкальный механический мобиль, создан для развития у детей визуальных ощущений, сенсорики, зрительного сосредоточения и прослеживания.;<p>Музыкальный механический мобиль, создан для развития у детей визуальных ощущений, сенсорики, зрительного сосредоточения и прослеживания. Крепится к детской кроватке. Материал - полиэстер.</p>
10;00368BS;82;2011-12-27 15:36:06;607.000000;;BibaToys;"Пирамидка Домашние животные(от3м)""";Мягкие кольца пирамиды в виде животных, издают при нажатии различные звуки. Нанизывание колец на шест развивает координацию рук, глаз, моторику.;<p>Мягкие кольца пирамиды в виде животных, издают при нажатии различные звуки. Нанизывание колец на шест развивает координацию рук, глаз, моторику.</p>
